Location	Asset	Year	Model	Type	2019 HP Student	2020 HP Student	2021 HP Student	2022 HP Student	2019 Mac Student	2020 Mac Student	2021 Mac Student	2022 Mac Student	2019 HP Loaner	2020 HP Loaner	2021 HP Loaner	2022 HP Loaner	2019 Mac Loaner	2020 Mac Loaner	2021 Mac Loaner	2022 Mac Loaner
=COUNTA(UNIQUE(A3:A502))	=COUNTA(B3:B502)				=COUNTA(F3:F502)	=COUNTA(G3:G502)	=COUNTA(H3:H502)	=COUNTA(I3:I502)	=COUNTA(J3:J502)	=COUNTA(K3:K502)	=COUNTA(L3:L502)	=COUNTA(M3:M502)	=COUNTA(N3:N502)	=COUNTA(O3:O502)	=COUNTA(P3:P502)	=COUNTA(Q3:Q502)	=COUNTA(R3:R502)	=COUNTA(S3:S502)	=COUNTA(T3:T502)	=COUNTA(U3:U502)
Location 1	202112507	2021	HP	Student			202112507													
Location 1	202277651	2022	HP	Student				202277651												
Location 1	202207854	2022	HP	Student				202207854												
Location 1	202158937	2021	Mac	Student							202158937									
Location 1	202027723	2020	HP	Student		202027723														
Location 1	201927705	2019	Mac	Student					201927705											
Location 1	202110576	2021	Mac	Student							202110576									
Location 1	202202037	2022	HP	Loaner												202202037				
Location 1	201901327	2019	HP	Loaner									201901327							
Location 1	202093840	2020	Mac	Loaner														202093840		
Location 1	202168967	2021	HP	Student			202168967													
Location 1	202180755	2021	HP	Loaner											202180755					
Location 1	201998137	2019	HP	Student	201998137															
Location 1	202073423	2020	Mac	Student						202073423										
Location 1	202071672	2020	HP	Student		202071672														
Location 1	202217760	2022	Mac	Student								202217760								
Location 1	202031697	2020	Mac	Loaner														202031697		
Location 1	202030339	2020	Mac	Student						202030339										
Location 1	202014554	2020	HP	Student		202014554														
Location 1	202120227	2021	HP	Loaner											202120227					
Location 1	201994852	2019	HP	Student	201994852															
Location 1	201989075	2019	HP	Loaner									201989075							
Location 1	201967996	2019	Mac	Student					201967996											
Location 1	202249803	2022	HP	Student				202249803												
Location 1	202005191	2020	HP	Student		202005191														
Location 1	202052190	2020	HP	Student		202052190														
Location 1	201957730	2019	HP	Student	201957730															
Location 1	201968823	2019	Mac	Student					201968823											
Location 1	202181294	2021	HP	Student			202181294													
Location 1	202074114	2020	Mac	Student						202074114										
Location 1	202239675	2022	HP	Student				202239675												
Location 1	202226458	2022	Mac	Student								202226458								
Location 1	202234660	2022	HP	Student				202234660												
Location 1	202115718	2021	Mac	Student							202115718									
Location 1	202050463	2020	HP	Student		202050463														
Location 1	202241357	2022	Mac	Student								202241357								
Location 1	202232708	2022	HP	Student				202232708												
Location 1	202175174	2021	Mac	Student							202175174									
Location 1	202197100	2021	HP	Student			202197100													
Location 1	202042148	2020	HP	Student		202042148														
Location 1	201996170	2019	Mac	Student					201996170											
Location 1	202294031	2022	Mac	Student								202294031								
Location 1	202087118	2020	Mac	Student						202087118										
Location 1	202158792	2021	HP	Student			202158792													
Location 1	202201529	2022	HP	Student				202201529												
Location 1	202134933	2021	Mac	Student							202134933									
Location 1	202207494	2022	Mac	Student								202207494								
Location 1	202088146	2020	HP	Student		202088146														
Location 1	201966225	2019	HP	Student	201966225															
Location 1	202034856	2020	Mac	Student						202034856										
Location 2	201933998	2019	HP	Student	201933998															
Location 2	202070903	2020	HP	Student		202070903														
Location 2	202081577	2020	Mac	Student						202081577										
Location 2	201955671	2019	Mac	Student					201955671											
Location 2	201947333	2019	HP	Student	201947333															
Location 2	202146454	2021	HP	Student			202146454													
Location 2	202261842	2022	HP	Student				202261842												
Location 2	202035714	2020	Mac	Student						202035714										
Location 2	202081105	2020	HP	Loaner										202081105						
Location 2	202214100	2022	HP	Student				202214100												
Location 2	202095927	2020	HP	Student		202095927														
Location 2	202132079	2021	HP	Student			202132079													
Location 2	202063826	2020	HP	Loaner										202063826						
Location 2	202074720	2020	Mac	Student						202074720										
Location 2	202237171	2022	HP	Student				202237171												
Location 2	202080678	2020	HP	Student		202080678														
Location 2	202034685	2020	Mac	Student						202034685										
Location 2	202270687	2022	Mac	Student								202270687								
Location 2	202080673	2020	Mac	Student						202080673										
